id,nombre,ambito_gobierno,poder_gobierno,sistema3,entidad_nombre
233,MUNICIPIO DE OCOTEPEC,Municipal,Municipal,,Chiapas
234,MUNICIPIO DE OCOZOCOAUTLA DE ESPINOSA,Municipal,Municipal,,Chiapas
235,MUNICIPIO DE OSTUACáN,Municipal,Municipal,,Chiapas
236,MUNICIPIO DE OSUMACINTA,Municipal,Municipal,,Chiapas
237,MUNICIPIO DE OXCHUC,Municipal,Municipal,,Chiapas
238,MUNICIPIO DE PALENQUE,Municipal,Municipal,,Chiapas
239,MUNICIPIO DE PANTELHó,Municipal,Municipal,,Chiapas
240,MUNICIPIO DE PANTEPEC,Municipal,Municipal,,Chiapas
241,MUNICIPIO DE PICHUCALCO,Municipal,Municipal,,Chiapas
242,MUNICIPIO DE PIJIJIAPAN,Municipal,Municipal,,Chiapas
243,MUNICIPIO DE EL PORVENIR DE VELASCO SUáREZ,Municipal,Municipal,,Chiapas
244,MUNICIPIO DE VILLA COMALTITLáN,Municipal,Municipal,,Chiapas
245,MUNICIPIO DE PUEBLO NUEVO SOLISTAHUACáN,Municipal,Municipal,,Chiapas
246,MUNICIPIO DE RAYóN,Municipal,Municipal,,Chiapas
247,MUNICIPIO DE REFORMA,Municipal,Municipal,,Chiapas
248,MUNICIPIO DE LAS ROSAS,Municipal,Municipal,,Chiapas
249,MUNICIPIO DE SABANILLA,Municipal,Municipal,,Chiapas
250,MUNICIPIO DE SALTO DE AGUA,Municipal,Municipal,,Chiapas
251,MUNICIPIO DE SAN CRISTóBAL DE LAS CASAS,Municipal,Municipal,,Chiapas
252,MUNICIPIO DE SAN FERNANDO,Municipal,Municipal,,Chiapas
253,MUNICIPIO DE SILTEPEC,Municipal,Municipal,,Chiapas
254,MUNICIPIO DE SIMOJOVEL DE ALLENDE,Municipal,Municipal,,Chiapas
255,MUNICIPIO DE SITALá,Municipal,Municipal,,Chiapas
256,MUNICIPIO DE SOCOLTENANGO,Municipal,Municipal,,Chiapas
257,MUNICIPIO DE SOLOSUCHIAPA,Municipal,Municipal,,Chiapas
258,MUNICIPIO DE SOYALó,Municipal,Municipal,,Chiapas
259,MUNICIPIO DE SUCHIAPA,Municipal,Municipal,,Chiapas
260,MUNICIPIO DE CIUDAD HIDALGO,Municipal,Municipal,,Chiapas
261,MUNICIPIO DE SUNUAPA,Municipal,Municipal,,Chiapas
262,MUNICIPIO DE TAPACHULA DE CóRDOVA Y ORDóñEZ,Municipal,Municipal,,Chiapas
263,MUNICIPIO DE TAPALAPA,Municipal,Municipal,,Chiapas
264,MUNICIPIO DE TAPILULA,Municipal,Municipal,,Chiapas
265,MUNICIPIO DE TECPATáN,Municipal,Municipal,,Chiapas
266,MUNICIPIO DE TENEJAPA,Municipal,Municipal,,Chiapas
267,MUNICIPIO DE TEOPISCA,Municipal,Municipal,,Chiapas
268,MUNICIPIO DE TILA,Municipal,Municipal,,Chiapas
